volcano_number	name	country	volcanic_region	volcano_type	tectonic_setting	evidence_category	elevation_m	last_eruption_year	longitude	latitude
210010	West Eifel Volcanic Field	Germany	Central European Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Eruption Dated	600	-8300	6.85	50.17
210020	Chaine des Puys	France	Western European Volcanic Province	Lava dome(s)	Rift zone / Continental crust (> 25 km)	Eruption Dated	1464	-4040	2.981	45.786
210030	Olot Volcanic Field	Spain	Western European Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	893		2.53	42.17
210040	Calatrava Volcanic Field	Spain	Western European Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	1117	-3600	-4.02	38.87
211004	Colli Albani	Italy	Italian Peninsula Volcanic Provinces	Caldera	Subduction zone / Continental crust (> 25 km)	Evidence Uncertain	949		12.7251	41.7569
211010	Campi Flegrei	Italy	Italian Peninsula Volcanic Provinces	Caldera	Subduction zone / Continental crust (> 25 km)	Eruption Observed	458	1538	14.139	40.827
211020	Vesuvius	Italy	Italian Peninsula Volcanic Provinces	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	1281	1944	14.426	40.821
211030	Ischia	Italy	Italian Peninsula Volcanic Provinces	Complex	Subduction zone / Continental crust (> 25 km)	Eruption Observed	789	1302	13.897	40.73
211031	Palinuro	Italy	Aeolian Volcanic Arc	Compound	Subduction zone / Continental crust (> 25 km)	Eruption Dated	-70	-8040	14.83	39.48
211040	Stromboli	Italy	Aeolian Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	924	2026	15.213	38.789
211041	Panarea	Italy	Aeolian Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Evidence Uncertain	399		15.064	38.638
211042	Lipari	Italy	Aeolian Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Dated	590	1230	14.933	38.49
211050	Vulcano	Italy	Aeolian Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	500	1890	14.962	38.404
211060	Etna	Italy	Sicily Volcanic Province	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	3357	2026	14.999	37.748
211070	Campi Flegrei del Mar di Sicilia	Italy	Sicily Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Eruption Observed	-8	1867	12.7	37.1
211071	Pantelleria	Italy	Sicily Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Eruption Observed	836	1891	12.02	36.77
211080	Marsili	Italy	Aeolian Volcanic Arc	Complex		Eruption Dated	-779	-1050	14.399	39.284
212020	Methana	Greece	Hellenic Volcanic Arc	Lava dome(s)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	380	-258	23.3331	37.6186
212030	Milos	Greece	Hellenic Volcanic Arc	Stratovolcano(es)	Subduction zone / Continental crust (> 25 km)	Eruption Dated	751	140	24.439	36.699
212040	Santorini	Greece	Hellenic Volcanic Arc	Shield(s)	Subduction zone / Continental crust (> 25 km)	Eruption Observed	367	1950	25.396	36.404
212042	Kolumbo	Greece	Hellenic Volcanic Arc	Complex		Eruption Dated	-18	1650	25.483	36.524
212050	Nisyros	Greece	Hellenic Volcanic Arc	Stratovolcano	Subduction zone / Continental crust (> 25 km)	Eruption Observed	698	1888	27.1553	36.5888
213000	Kula	Turkiye	Western Anatolian Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	750		28.52	38.58
213002	Hasandag-Keciboyduran Volcanic Complex	Turkiye	Western Anatolian Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Evidence Credible	3253		34.17	38.13
213010	Erciyes Volcanic Complex	Turkiye	Western Anatolian Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Dated	3864	-6880	35.447	38.531
213011	Karaca Dag	Turkiye	Northern Arabia Volcanic Province	Shield	Intraplate / Continental crust (> 25 km)	Evidence Credible	1957		39.83	37.67
213020	Nemrut Dagi	Turkiye	Central Anatolian Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Observed	2948	1650	42.229	38.654
213030	Tenduruk Dagi	Turkiye	Central Anatolian Volcanic Province	Shield	Intraplate / Continental crust (> 25 km)	Eruption Observed	3514	1855	43.874	39.356
213040	Ararat	Turkiye	Central Anatolian Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Observed	5165	1840	44.3	39.7
214010	Elbrus	Russia	Caucasus Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Dated	5642	50	42.442	43.351
214020	Kazbek	Georgia	Caucasus Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Dated	5004	-750	44.5184	42.697
214050	Samsari Volcanic Center	Georgia	Caucasus Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Uncertain	3290		43.7	41.542
214060	Aragats	Armenia	Caucasus Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Evidence Credible	4095		44.2	40.53
214070	Ghegham Volcanic Ridge	Armenia	Caucasus Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	3597	-1900	45.0	40.283
214080	Vaiyots-Sar	Armenia	Caucasus Volcanic Province	Pyroclastic cone(s)	Intraplate / Continental crust (> 25 km)	Eruption Dated	2575	-2000	45.497	39.797
214090	Porak	Armenia-Azerbaijan	Caucasus Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	3029	-778	45.74	40.028
214100	Tskhouk-Karckar	Armenia-Azerbaijan	Caucasus Volcanic Province	Pyroclastic cone(s)	Intraplate / Continental crust (> 25 km)	Eruption Dated	3139	-3000	45.992	39.742
221010	Tair, Jebel at	Yemen	Red Sea Rift Volcanic Province	Stratovolcano	Rift zone / Oceanic crust (< 15 km)	Eruption Observed	244	2008	41.83	15.55
221020	Zubair Group	Yemen	Red Sea Rift Volcanic Province	Shield	Rift zone / Oceanic crust (< 15 km)	Eruption Observed	191	2013	42.18	15.05
221021	Zukur	Yemen	Red Sea Rift Volcanic Province	Shield	Rift zone / Oceanic crust (< 15 km)	Evidence Credible	624		42.75	14.02
221022	Hanish	Yemen	Red Sea Rift Volcanic Province	Shield	Rift zone / Oceanic crust (< 15 km)	Evidence Credible	422		42.73	13.72
221040	Alid	Eritrea	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	904		39.92	14.88
221041	Dallol	Ethiopia	Afar Rift Volcanic Province	Explosion crater(s)	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	-48	2011	40.3	14.242
221050	Gada Ale	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	287		40.408	13.975
221060	Alu-Dalafilla	Ethiopia	Afar Rift Volcanic Province	Fissure vent(s)	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	578	2008	40.553	13.793
221071	Bora Ale	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	668		40.6	13.725
221080	Erta Ale	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	585	2025	40.666	13.601
221090	Ale Bagu	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	988		40.631	13.512
221091	Hayli Gubbi	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	493	2025	40.7161	13.5111
221100	Dubbi	Eritrea	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	1625	1861	41.809	13.579
221101	Nabro	Eritrea	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	2218	2012	41.7	13.37
221102	Mallahle	Ethiopia-Eritrea	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Uncertain	1875		41.65	13.27
221103	Sork Ale	Ethiopia-Eritrea	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Uncertain	1611		41.725	13.18
221104	Asavyo	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1338		41.599	13.098
221105	Mat Ala	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	493		41.161	13.106
221106	Tat Ali	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	655		41.063	13.284
221107	Borawli	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	784		40.987	13.304
221110	Afdera	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Uncertain	1250		40.853	13.088
221111	Ma Alalta	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1745		40.185	13.013
221112	Alayta	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	1496	1915	40.573	12.888
221113	Dabbahu	Ethiopia	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	1401	2005	40.48	12.595
221114	Dabbayra	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1302		40.07	12.38
221115	Manda Hararo	Ethiopia	Afar Rift Volcanic Province	Shield(s)	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	600	2009	40.82	12.17
221116	Groppo	Ethiopia	Afar Rift Volcanic Province	Volcanic field	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	852		40.242	11.816
221120	Kurub	Ethiopia	Afar Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	625		41.208	11.88
221122	Manda-Inakir	Ethiopia-Djibouti	Afar Rift Volcanic Province	Fissure vent(s)	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	600	1928	42.2	12.38
221123	Mousa Alli	Ethiopia-Eritrea-Djibouti	Afar Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1993		42.404	12.469
221124	Gufa	Eritrea-Djibouti	Afar Rift Volcanic Province	Volcanic field	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	600		42.53	12.55
221125	Assab Volcanic Field	Eritrea	Afar Rift Volcanic Province	Volcanic field	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	987		42.43	12.95
221126	Ardoukoba	Djibouti	Afar Rift Volcanic Province	Fissure vent(s)	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	298	1978	42.47	11.58
221127	Manda Gargori	Ethiopia	Afar Rift Volcanic Province	Fissure vent(s)	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	700		41.48	11.75
221141	Dama Ali	Ethiopia	Main Ethiopian Rift Volcanic Province	Shield	Rift zone / Intermediate crust (15-25 km)	Eruption Observed	1068	1631	41.63	11.28
221150	Gabillema	Ethiopia	Main Ethiopian Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1459		41.27	11.08
221151	Yangudi	Ethiopia	Main Ethiopian Rift Volcanic Province	Complex	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1383		41.042	10.58
221160	Ayelu	Ethiopia	Main Ethiopian Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	2145		40.702	10.082
221170	Adwa	Ethiopia	Main Ethiopian Rift Volcanic Province	Stratovolcano	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1670		40.831	10.063
221171	Hertali	Ethiopia	Main Ethiopian Rift Volcanic Province	Fissure vent	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	900		40.33	9.78
221172	Liado Hayk	Ethiopia	Main Ethiopian Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Evidence Uncertain	878		40.28	9.57
221180	Dofen	Ethiopia	Main Ethiopian Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Evidence Credible	1151		40.13	9.35
221190	Fentale	Ethiopia	Main Ethiopian Rift Volcanic Province	Stratovolcano	Rift zone / Continental crust (> 25 km)	Eruption Observed	2007	1789	39.906	8.985
221191	Beru	Ethiopia	Main Ethiopian Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Evidence Credible	1100		39.75	8.95
221200	Kone	Ethiopia	Main Ethiopian Rift Volcanic Province	Caldera(s)	Rift zone / Continental crust (> 25 km)	Eruption Observed	1380	1820	39.6946	8.8105
221210	Boset	Ethiopia	Main Ethiopian Rift Volcanic Province	Stratovolcano(es)	Rift zone / Continental crust (> 25 km)	Evidence Credible	2447		39.475	8.558
221220	Bishoftu Volcanic Field	Ethiopia	Main Ethiopian Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Evidence Credible	1850		38.98	8.78
221222	Melkassa	Ethiopia	Main Ethiopian Rift Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	1765		39.35	8.43
221230	Gedemsa	Ethiopia	Main Ethiopian Rift Volcanic Province	Caldera	Rift zone / Continental crust (> 25 km)	Evidence Credible	1909		39.172	8.363
221250	Bora-Bericha-Tullu Moye	Ethiopia	Main Ethiopian Rift Volcanic Province	Pyroclastic cone	Rift zone / Continental crust (> 25 km)	Eruption Observed	2345	1900	39.0812	8.2114
221252	East Ziway	Ethiopia	Main Ethiopian Rift Volcanic Province	Fissure vent(s)	Rift zone / Continental crust (> 25 km)	Evidence Credible	1889		38.902	7.874
221260	Butajiri-Silti Field	Ethiopia	Main Ethiopian Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Evidence Credible	2281		38.35	8.05
221270	Aluto	Ethiopia	Main Ethiopian Rift Volcanic Province	Stratovolcano	Rift zone / Continental crust (> 25 km)	Eruption Dated	2335	1550	38.78	7.77
221280	Shala	Ethiopia	Main Ethiopian Rift Volcanic Province	Caldera	Rift zone / Continental crust (> 25 km)	Evidence Credible	2075		38.5571	7.4569
221290	Corbetti	Ethiopia	Main Ethiopian Rift Volcanic Province	Caldera	Rift zone / Continental crust (> 25 km)	Evidence Credible	2289	-396	38.39	7.193
221291	Bilate River Field	Ethiopia	Main Ethiopian Rift Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Unrest / Holocene	1700		38.1	7.07
221294	Northern Lake Abaya Volcanic Field	Ethiopia	Main Ethiopian Rift Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	1594		37.97	6.76
221320	Korath Range	Ethiopia	Kenyan Rift Volcanic Province	Tuff cone(s)	Rift zone / Intermediate crust (15-25 km)	Evidence Uncertain	912		35.892	5.117
221330	Mega Volcanic Field	Ethiopia	Kenyan Rift Volcanic Province	Volcanic field	Rift zone / Intermediate crust (15-25 km)	Evidence Credible	1500		38.213	3.971
222001	Lake Turkana North Island	Kenya	Kenyan Rift Volcanic Province	Tuff cone(s)	Rift zone / Continental crust (> 25 km)	Evidence Credible	490		36.0458	4.0631
222010	Lake Turkana Central Island	Kenya	Kenyan Rift Volcanic Province	Tuff cone(s)	Rift zone / Continental crust (> 25 km)	Evidence Credible	518		36.0365	3.496
222020	Lake Turkana South Island	Kenya	Kenyan Rift Volcanic Province	Stratovolcano	Rift zone / Continental crust (> 25 km)	Eruption Observed	800	1888	36.5958	2.6364
222021	Marsabit	Kenya	Kenyan Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Evidence Uncertain	1707		37.97	2.32
222030	Barrier, The	Kenya	Kenyan Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Eruption Observed	1032	1921	36.57	2.32
222040	Namarunu	Kenya	Kenyan Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Eruption Dated	817	-6550	36.43	1.98
222050	Segererua Plateau	Kenya	Kenyan Rift Volcanic Province	Pyroclastic cone(s)	Rift zone / Continental crust (> 25 km)	Evidence Credible	699		37.9	1.57
222051	Emuruangogolak	Kenya	Kenyan Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Eruption Dated	1285	1910	36.33	1.5
222052	Silali	Kenya	Kenyan Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Eruption Dated	1528	-5050	36.23	1.15
222053	Paka	Kenya	Kenyan Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Eruption Dated	1697	-7550	36.18	0.92
222054	Korosi	Kenya	Kenyan Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Evidence Credible	1446		36.12	0.77
222055	Ol Kokwe	Kenya	Kenyan Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Evidence Credible	1130		36.075	0.62
222056	Nyambeni Hills	Kenya	Kenyan Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Evidence Credible	750		37.87	0.23
222060	Menengai	Kenya	Kenyan Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Eruption Dated	2278	-6050	36.07	-0.2
222070	Homa Mountain	Kenya	Kenyan Rift Volcanic Province	Complex	Rift zone / Continental crust (> 25 km)	Evidence Credible	1751		34.5	-0.38
222071	Elmenteita Badlands	Kenya	Kenyan Rift Volcanic Province	Pyroclastic cone(s)	Rift zone / Continental crust (> 25 km)	Evidence Credible	2126		36.249	-0.546
222080	Eburru, Ol Doinyo	Kenya	Kenyan Rift Volcanic Province	Complex	Rift zone / Continental crust (> 25 km)	Evidence Credible	2856		36.22	-0.65
222090	Olkaria	Kenya	Kenyan Rift Volcanic Province	Pyroclastic cone(s)	Rift zone / Continental crust (> 25 km)	Eruption Dated	2434	1770	36.292	-0.904
222100	Longonot	Kenya	Kenyan Rift Volcanic Province	Stratovolcano	Rift zone / Continental crust (> 25 km)	Eruption Dated	2776	1863	36.446	-0.914
222110	Suswa	Kenya	Kenyan Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Evidence Credible	2356		36.357	-1.151
222120	Lengai, Ol Doinyo	Tanzania	Kenyan Rift Volcanic Province	Stratovolcano	Rift zone / Continental crust (> 25 km)	Eruption Observed	2962	2026	35.914	-2.764
222130	Chyulu Hills	Kenya	Kenyan Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Eruption Dated	2188	1855	37.88	-2.68
222160	Meru	Tanzania	Kenyan Rift Volcanic Province	Stratovolcano	Rift zone / Continental crust (> 25 km)	Eruption Observed	4550	1910	36.75	-3.244
222164	Ngozi	Tanzania	Rukwa Rift Volcanic Province	Caldera	Rift zone / Continental crust (> 25 km)	Eruption Dated	2614	1450	33.552	-9.0036
222166	Rungwe	Tanzania	Rukwa Rift Volcanic Province	Stratovolcano	Rift zone / Continental crust (> 25 km)	Eruption Dated	2953	1250	33.668	-9.135
222170	Kyejo	Tanzania	Rukwa Rift Volcanic Province	Stratovolcano	Rift zone / Continental crust (> 25 km)	Eruption Observed	2176	1800	33.792	-9.229
223001	Fort Portal Volcanic Field	Uganda	Albertine Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Eruption Dated	1615	-2120	30.25	0.7
223002	Ndali-Kasenda Volcanic Field	Uganda	Albertine Rift Volcanic Province	Volcanic field	Rift zone / Continental crust (> 25 km)	Evidence Uncertain	1300		30.275	0.4583
223020	Nyamulagira	DR Congo	Albertine Rift Volcanic Province	Shield	Rift zone / Continental crust (> 25 km)	Eruption Observed	3058	2026	29.2	-1.408
223030	Nyiragongo	DR Congo	Albertine Rift Volcanic Province	Stratovolcano	Rift zone / Continental crust (> 25 km)	Eruption Observed	3470	2026	29.25	-1.52
223040	Karisimbi	DR Congo-Rwanda	Albertine Rift Volcanic Province	Stratovolcano	Rift zone / Continental crust (> 25 km)	Eruption Dated	4490	-8050	29.45	-1.506
223045	Mugogo	DR Congo	Albertine Rift Volcanic Province	Cone	Rift zone / Continental crust (> 25 km)		2338	1957	29.48	-1.3687
224004	Basile, Pico	Equatorial Guinea	Western Africa Volcanic Province	Shield	Intraplate / Continental crust (> 25 km)	Eruption Observed	2999	1923	8.762	3.588
224010	Cameroon	Cameroon	Western Africa Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Observed	4095	2000	9.17	4.203
224011	Tombel Graben	Cameroon	Western Africa Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	500		9.717	4.758
224030	Oku Volcanic Field	Cameroon	Western Africa Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Uncertain	3011		10.5	6.25
225001	Todra Volcanic Field	Niger	West Central Sahara Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	1780		8.5	17.68
225004	Tahalra Volcanic Field	Algeria	West Central Sahara Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	1467		5.0	22.67
225005	Atakor Volcanic Field	Algeria	West Central Sahara Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	2918		5.83	23.33
225006	Manzaz Volcanic Field	Algeria	West Central Sahara Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	1672		5.83	23.92
225009	Toh, Tarso	Chad	East Central Sahara Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	2000		16.33	21.33
225010	Tousside, Tarso	Chad	East Central Sahara Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Evidence Credible	3299		16.473	21.0408
225020	Voon, Tarso	Chad	East Central Sahara Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Unrest / Holocene	3100		17.28	20.92
225021	Koussi, Emi	Chad	East Central Sahara Volcanic Province	Shield(pyroclastic)	Intraplate / Continental crust (> 25 km)	Evidence Credible	3415		18.53	19.8
225030	Marra, Jebel	Sudan	Southeast Sahara Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	3042	-2000	24.27	12.95
225040	Kutum Volcanic Field	Sudan	Southeast Sahara Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Uncertain	1779		25.85	14.57
225050	Meidob Volcanic Field	Sudan	Southeast Sahara Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	2000	-2950	26.47	15.32
225060	Bayuda Volcanic Field	Sudan	Southeast Sahara Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	670	850	32.75	18.33
231001	Ash Shaam, Harrat	Syria-Jordan-Saudi Arabia	Northern Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Observed	1100	-2670	37.583	32.333
231040	Lunayyir, Harrat	Saudi Arabia	Western Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Observed	1370	1000	37.75	25.17
231050	Ithnayn, Harrat	Saudi Arabia	Western Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	1625		40.2	26.58
231060	Khaybar, Harrat	Saudi Arabia	Western Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Observed	2093	650	40.0	25.5
231070	Rahat, Harrat	Saudi Arabia	Western Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Observed	1744	1256	39.78	23.08
231071	Kishb, Harrat	Saudi Arabia	Western Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	1475		41.38	22.8
231072	Birk, Harrat al	Saudi Arabia	Southwest Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	587		41.63	18.37
231080	Yar, Jabal	Saudi Arabia	Southwest Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Observed	305	1810	42.83	17.05
231090	Arhab, Harra of	Yemen	Southwest Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Observed	3100	500	44.0978	15.6025
231110	Haylan, Jabal	Yemen	Southwest Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Dated	1550	-1200	45.1	15.4
231120	Dhamar, Harras of	Yemen	Southwest Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Observed	3500		44.67	14.57
231160	Sawad, Harra Es-	Yemen	Southwest Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Eruption Observed	1737	1253	46.12	13.58
231170	Balhaf-Bir Ali Volcanic Field	Yemen	Southwest Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Credible	604		48.3	14.067
231180	Bir Borhut	Yemen	Southwest Arabia Volcanic Province	Volcanic field	Intraplate / Continental crust (> 25 km)	Evidence Uncertain	464		50.935	15.515
232010	Damavand	Iran	Caucasus Volcanic Province	Stratovolcano	Intraplate / Continental crust (> 25 km)	Eruption Dated	5670	-5350	52.109	35.951
233001	Grille, La	Union of the Comoros	Madagascar-Comoros Volcanic Province	Shield	Intraplate / Oceanic crust (< 15 km)	Evidence Credible	1064		43.35	-11.4861
233005	Mayotte	France	Madagascar-Comoros Volcanic Province	Shield	Intraplate / Oceanic crust (< 15 km)	Eruption Dated	660	-2050	45.17	-12.83
233010	Karthala	Union of the Comoros	Madagascar-Comoros Volcanic Province	Shield	Intraplate / Oceanic crust (< 15 km)	Eruption Observed	2350	2007	43.3639	-11.7658
233020	Fournaise, Piton de la	France	Reunion Hotspot Volcano Group	Shield	Intraplate / Oceanic crust (< 15 km)	Eruption Observed	2632	2026	55.708	-21.244
233040	Fani Maore	France	Madagascar-Comoros Volcanic Province	Cone	Intraplate / Oceanic crust (< 15 km)	Eruption Observed	-2500	2019	45.7075	-12.9121
234000	Boomerang Seamount	France	Amsterdam-St. Paul Hotspot Volcano Group	Caldera	Rift zone / Oceanic crust (< 15 km)	Eruption Dated	-650	1995	77.8221	-37.7216
234001	Amsterdam Island	France	Amsterdam-St. Paul Hotspot Volcano Group	Stratovolcano	Rift zone / Oceanic crust (< 15 km)	Evidence Credible	881		77.52	-37.83
234002	St. Paul	France	Amsterdam-St. Paul Hotspot Volcano Group	Stratovolcano	Rift zone / Oceanic crust (< 15 km)	Eruption Observed	268	1793	77.53	-38.72
234010	Heard	Australia	Kerguelen Hotspot Volcano Group	Stratovolcano	Intraplate / Oceanic crust (< 15 km)	Eruption Observed	2745	2026	73.513	-53.106
234011	McDonald Islands	Australia	Kerguelen Hotspot Volcano Group	Complex	Intraplate / Oceanic crust (< 15 km)	Eruption Observed	263	2005	72.595	-53.0394
234020	Kerguelen Islands	France	Kerguelen Hotspot Volcano Group	Stratovolcano(es)	Intraplate / Oceanic crust (< 15 km)	Evidence Uncertain	1840		69.5	-49.58
234030	Est, Ile de l'	France	Crozet Hotspot Volcano Group	Stratovolcano	Rift zone / Oceanic crust (< 15 km)	Evidence Uncertain	1090		52.2	-46.43
234040	Possession, Ile de la	France	Crozet Hotspot Volcano Group	Stratovolcano	Rift zone / Oceanic crust (< 15 km)	Evidence Credible	934		51.75	-46.42
234050	Cochons, Ile aux	France	Crozet Hotspot Volcano Group	Stratovolcano	Rift zone / Oceanic crust (< 15 km)	Evidence Credible	775		50.23	-46.1
